run_name,mode,architecture,source,target,seed,source_best_epoch,source_selection_metric,source_selection_value,ranking,eval_negatives,target_interactions_used_for_training,target_interactions_used_for_model_selection,Recall@10,Recall@20,NDCG@10,NDCG@20,MRR@10,MRR@20,all_equal_ratio,tie_case_ratio,avg_tie_items,mean_rank_1based
bert4rec_recg_a003_matched,recg,dual,amazon_movies_and_tv,amazon_cds_and_vinyl,2026,45,NDCG@10,0.26014305746695243,sampled,100,False,False,0.4343657351920772,0.612565445026178,0.23294567371514951,0.27793565451855645,0.171870403578913,0.18418666061498998,0.0,0.0,0.0,23.528669652431716
bert4rec_recg_a003_matched,recg,dual,amazon_movies_and_tv,amazon_industrial_and_scientific,2026,45,NDCG@10,0.26014305746695243,sampled,100,False,False,0.24527570721922087,0.41589733068909707,0.11845861252382593,0.16138960736815533,0.0805501371869422,0.09222464392136717,0.0,2.2795140076135767e-05,2.2795140076135767e-05,34.53794251065673
bert4rec_sem_matched,sem,single,amazon_movies_and_tv,amazon_cds_and_vinyl,2026,43,NDCG@10,0.2625916594159249,sampled,100,False,False,0.43770895098719487,0.6133223995458272,0.23999879907839317,0.2843274095968788,0.17992746353151323,0.19205704494034884,0.0,0.0,0.0,23.936794297609286
bert4rec_sem_matched,sem,single,amazon_movies_and_tv,amazon_industrial_and_scientific,2026,43,NDCG@10,0.2625916594159249,sampled,100,False,False,0.255875447354624,0.4192254211402129,0.12590239993847926,0.1669526442394621,0.0869715643291517,0.09810860430793057,0.0,0.0,0.0,34.15272743851011
bert4rec_arch0_matched,arch0,dual,amazon_movies_and_tv,amazon_cds_and_vinyl,2026,43,NDCG@10,0.2584984011937673,sampled,100,False,False,0.4406106099791838,0.6176118084905066,0.23751359419772206,0.2821585323119326,0.17587240009652172,0.18807077624172877,0.0,0.0,0.0,23.50734876679493
bert4rec_arch0_matched,arch0,dual,amazon_movies_and_tv,amazon_industrial_and_scientific,2026,43,NDCG@10,0.2584984011937673,sampled,100,False,False,0.24117258200551642,0.40764548998153594,0.11598064619686593,0.15781989173721195,0.07855981390481837,0.08991251859211469,0.0,0.0,0.0,34.55478811917299
bert4rec_sage_matched,sage,dual,amazon_movies_and_tv,amazon_cds_and_vinyl,2026,71,NDCG@10,0.26567398389065117,sampled,100,False,False,0.49820223301583294,0.6629029205828549,0.28057325096056596,0.322197942152508,0.21417264670749817,0.22559076088535945,0.0,0.0,0.0,20.834542357913328
bert4rec_sage_matched,sage,dual,amazon_movies_and_tv,amazon_industrial_and_scientific,2026,71,NDCG@10,0.26567398389065117,sampled,100,False,False,0.24999430121498098,0.41288837219904717,0.12205710651774887,0.16298196458227984,0.0837914432833396,0.09488607860071006,0.0,0.0,0.0,35.00665618090223
bert4rec_recg_a01_matched,recg,dual,amazon_movies_and_tv,amazon_cds_and_vinyl,2026,43,NDCG@10,0.2608757604544018,sampled,100,False,False,0.46167917744275533,0.6320570239071469,0.25405361210003014,0.29706942442394146,0.19091962464667947,0.20269408286602442,0.0,0.0,0.0,22.63565255787548
bert4rec_recg_a01_matched,recg,dual,amazon_movies_and_tv,amazon_industrial_and_scientific,2026,43,NDCG@10,0.2608757604544018,sampled,100,False,False,0.24005562014178577,0.4022658369235679,0.11686168768358089,0.15755267544348697,0.08008450122243461,0.09108488516899585,0.0,0.0,0.0,35.068750142469625
bert4rec_sem,sem,single,amazon_movies_and_tv,amazon_cds_and_vinyl,2027,43,NDCG@10,0.2632290624956451,sampled,100,False,False,0.4242099287201161,0.60783447927837,0.23086156950439993,0.27717317960168714,0.17230415053382317,0.1849575059037298,0.0,0.0,0.0,23.880779663155238
bert4rec_sem,sem,single,amazon_movies_and_tv,amazon_industrial_and_scientific,2027,43,NDCG@10,0.2632290624956451,sampled,100,False,False,0.2741115594155326,0.43449816499122385,0.13507797288556714,0.17540455149815554,0.09337614839563824,0.1043275824132972,0.0,0.0,0.0,33.531765027696096
bert4rec_recg_a01,recg,dual,amazon_movies_and_tv,amazon_cds_and_vinyl,2027,58,NDCG@10,0.26251848277454315,sampled,100,False,False,0.461489938812843,0.6335078534031413,0.2541211715021102,0.2975977813981213,0.19115950213218869,0.20308545287286453,0.0,0.0,0.0,22.49277739229168
bert4rec_recg_a01,recg,dual,amazon_movies_and_tv,amazon_industrial_and_scientific,2027,58,NDCG@10,0.26251848277454315,sampled,100,False,False,0.23588410950785293,0.3998495520754975,0.11296196788585247,0.15416937180395593,0.07631385036329302,0.08749433574337788,0.0,0.0,0.0,35.84927853381659
bert4rec_sage,sage,dual,amazon_movies_and_tv,amazon_cds_and_vinyl,2027,58,NDCG@10,0.26439320471002764,sampled,100,False,False,0.47643979057591623,0.6517378414180282,0.265773318997455,0.31007387956068355,0.20160267096809076,0.21375061075655147,0.0,0.0,0.0,21.5284173342585
bert4rec_sage,sage,dual,amazon_movies_and_tv,amazon_industrial_and_scientific,2027,58,NDCG@10,0.26439320471002764,sampled,100,False,False,0.23558777268686315,0.4010348993594566,0.11462233206361999,0.15615768157510984,0.07847797754280691,0.0897236378434887,0.0,0.0,0.0,34.825845129818326
bert4rec_sem,sem,single,amazon_movies_and_tv,amazon_cds_and_vinyl,2028,12,NDCG@10,0.2539068627812109,sampled,100,False,False,0.4349965306251183,0.6228474105847474,0.237559341333604,0.28497956122171814,0.17760087970931343,0.1905790493646041,0.0,0.0,0.0,23.825143505961016
bert4rec_sem,sem,single,amazon_movies_and_tv,amazon_industrial_and_scientific,2028,12,NDCG@10,0.2539068627812109,sampled,100,False,False,0.2706011078438077,0.43552394629464997,0.13453507395678646,0.17599004973768395,0.09370182039094027,0.10495320791997069,0.0,4.5590280152271535e-05,4.5590280152271535e-05,33.02375253595933
bert4rec_recg_a01,recg,dual,amazon_movies_and_tv,amazon_cds_and_vinyl,2028,12,NDCG@10,0.24952078685324722,sampled,100,False,False,0.49202043777203053,0.6603166593073866,0.27836805791874264,0.3208714499327773,0.21324507704215018,0.22488500447401438,0.0,0.0,0.0,20.704724657793477
bert4rec_recg_a01,recg,dual,amazon_movies_and_tv,amazon_industrial_and_scientific,2028,12,NDCG@10,0.24952078685324722,sampled,100,False,False,0.17679910643050903,0.32410130160249834,0.080805543072663,0.11770679889287435,0.05233596816206403,0.06228657198597729,0.0,4.5590280152271535e-05,4.5590280152271535e-05,39.817570493970685
bert4rec_sage,sage,dual,amazon_movies_and_tv,amazon_cds_and_vinyl,2028,12,NDCG@10,0.249355607886152,sampled,100,False,False,0.45253264366365986,0.6276414558758595,0.25036660860131404,0.29449743335189477,0.18889454602253444,0.20093407124836213,0.0,0.0,0.0,22.875480981517693
bert4rec_sage,sage,dual,amazon_movies_and_tv,amazon_industrial_and_scientific,2028,12,NDCG@10,0.249355607886152,sampled,100,False,False,0.21543686885955915,0.3777838564817981,0.10401137315810909,0.14472245351846422,0.0707216054870435,0.08171945505365873,0.0,2.2795140076135767e-05,2.2795140076135767e-05,35.845220998883036
